name,scientificName,family,category,lighting,soil,fertilizing,watering
Zamie,,,indoor,Wenig bis mittleres Licht. Schattenverträglich.,Gut durchlässige Erde.,Alle 8 Wochen leicht düngen im Sommer. Im Winter nicht düngen.,Alle 21 Tage. Sparsam gießen.
Blattkaktus,,Cactaceae,cacti,Helles indirektes Licht. Keine pralle Sonne.,Lockere durchlässige Erde mit Torfanteil.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Keulenlilie,,Liliaceae,indoor,Helles bis mittleres Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Zimmeresche,,,outdoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Kroton,,,indoor,Helles Licht. Etwas direkte Sonne verträglich.,Nährstoffreiche durchlässige Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Flammendes Käthchen,Kalanchoe blossfeldiana,Crassulaceae,indoor,Viel Licht. Sonnig und warm.,Gut drainierende Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Sparsam gießen.
Wunderblume,,,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer.,Alle 5 Tage. Mäßig gießen.
Birkenfeige,Ficus benjamina,Moraceae,outdoor,Helles indirektes Licht. Keine Zugluft.,Gut durchlässige nährstoffreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Buntnessel,,,indoor,Helles indirektes Licht. Keine pralle Sonne.,Lockere humusreiche Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Glücksbambus,,,indoor,Mittleres Licht. Keine direkte Sonne.,In Wasser oder lockere Erde.,Alle 4 Wochen leicht düngen.,Alle 7 Tage. Wasser regelmäßig wechseln.
Pfeilwurz,,,indoor,Mittleres Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Mexikanische Glückspalme,,Arecaceae,herbal,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Kamelienblütige Begonie,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Zwergpfeffer,Peperomia,Piperaceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Wasserpalme,,Arecaceae,indoor,Helles Licht. Keine direkte Sonne.,Humusreiche feuchte Erde.,Alle 4 Wochen düngen im Sommer. Im Winter selten.,Alle 3 Tage. Stets feucht halten.
Bromelie,Bromelia,Bromeliaceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere orchideenartige Erde.,Alle 4 Wochen schwach düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Trichter mit Wasser füllen.
Flammendes Schwert,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere Erde mit Rinde.,Alle 4 Wochen schwach düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Trichter mit Wasser füllen.
Palmfarn,,Polypodiaceae,indoor,Viel Licht. Direkte Sonne verträglich.,Gut drainierende Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Cycas revoluta,,,indoor,Viel Licht. Direkte Sonne verträglich.,Gut drainierende sandige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Zimmerkalla,,,indoor,Mittleres Licht. Halbschatten möglich.,Feuchte humusreiche Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Drehfrucht,,,indoor,Mittleres Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Korallenbeere,,,indoor,Helles indirektes Licht. Keine pralle Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Zierananas,,,indoor,Viel Licht. Direkte Sonne verträglich.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Strahlenaralie variegata,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Philodendron xanadu,,Araceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere nährstoffreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Philodendron gloriosum,,Araceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere Erde mit Rinde und Perlite.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Alocasia Dragon Scale,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere Erde mit Perlite und Rinde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Calathea Medallion,,Marantaceae,indoor,Mittleres Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Calathea Makoyana,,Marantaceae,indoor,Mittleres Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Calathea Musaica,,Marantaceae,indoor,Mittleres Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Paradiesvogelblume,,,indoor,Viel Licht. Direkte Sonne möglich.,Nährstoffreiche durchlässige Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Plumeria,,,indoor,Viel Licht. Volle Sonne notwendig.,Gut drainierende sandige Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Bougainvillea glabra,,,indoor,Viel Licht. Volle Sonne ideal.,Gut drainierende Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Medinilla,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Alpinia,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere humusreiche feuchte Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Heliconia,,,indoor,Viel Licht. Sonnig und warm.,Nährstoffreiche feuchte Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 3 Tage. Reichlich gießen.
Frühlingszwiebel,,,outdoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Alle 4 Wochen leicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Schalotte,,,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Alle 4 Wochen leicht düngen.,Alle 7 Tage. Mäßig gießen.
Knollensellerie,,,indoor,Helles Licht. Sonnig bis halbschattig.,Nährstoffreiche tiefgründige feuchte Erde.,Alle 2 Wochen düngen.,Alle 3 Tage. Gleichmäßig feucht halten.
Endivie,,,indoor,Helles Licht. Sonnig bis halbschattig.,Lockere nährstoffreiche Erde.,Alle 4 Wochen leicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Feldsalat,,,outdoor,Helles Licht. Sonnig bis halbschattig.,Lockere durchlässige Erde.,Leichte Düngung bei Aussaat.,Alle 5 Tage. Gleichmäßig feucht halten.
Kopfsalat,,,outdoor,Helles Licht. Keine pralle Mittagssonne.,Lockere nährstoffreiche feuchte Erde.,Alle 4 Wochen leicht düngen.,Alle 3 Tage. Gleichmäßig feucht halten.
Eisbergsalat,,,outdoor,Helles Licht. Sonnig bis halbschattig.,Lockere nährstoffreiche Erde.,Alle 4 Wochen leicht düngen.,Alle 3 Tage. Gleichmäßig feucht halten.
Radicchio,,,indoor,Helles Licht. Sonnig bis halbschattig.,Lockere nährstoffreiche Erde.,Alle 4 Wochen leicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Chicorée,,,indoor,Helles Licht. Sonnig bis halbschattig.,Lockere tiefgründige Erde.,Alle 4 Wochen leicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Portulak,,,indoor,Viel Licht. Sonniger Standort.,Durchlässige sandige Erde.,Wenig bis kein Dünger nötig.,Alle 7 Tage. Sparsam gießen.
Okra,,,indoor,Viel Licht. Sonnig und warm.,Lockere nährstoffreiche Erde.,Alle 4 Wochen düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Schwarzwurzel,,,indoor,Helles Licht. Sonnig bis halbschattig.,Tiefgründige lockere Erde.,Leichte Düngung bei Aussaat.,Alle 7 Tage. Mäßig gießen.
Bärlauch,,,indoor,Wenig Licht. Schattiger feuchter Standort.,Lockere humusreiche feuchte Erde.,Im Frühling leicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Kresse,,,herbal,Helles Licht. Sonnig bis halbschattig.,Lockere feuchte Erde.,Kein Dünger nötig.,Alle 3 Tage. Stets feucht halten.
Stevia,,,herbal,Viel Licht. Sonniger warmer Standort.,Lockere nährstoffreiche Erde.,Alle 4 Wochen düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Zitronenverbene,,,indoor,Viel Licht. Sonnig und warm.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Mäßig gießen.
Sauerampfer,,,indoor,Helles Licht. Halbschatten verträglich.,Lockere feuchte Erde.,Alle 4 Wochen leicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Ysop,,,indoor,Viel Licht. Sonniger Standort.,Durchlässige magere Erde.,Im Frühling leicht düngen.,Alle 7 Tage. Sparsam gießen.
Waldmeister,,,indoor,Wenig Licht. Schatten bevorzugt.,Lockere humusreiche feuchte Erde.,Im Frühling leicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Anis,,,herbal,Viel Licht. Sonnig und warm.,Lockere durchlässige Erde.,Alle 4 Wochen leicht düngen.,Alle 7 Tage. Mäßig gießen.
Fenchel (Gewürz),,,indoor,Viel Licht. Sonniger warmer Standort.,Tiefgründige nährstoffreiche Erde.,Alle 4 Wochen düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Kreuzkümmel,,,herbal,Viel Licht. Sonnig und warm.,Lockere durchlässige Erde.,Alle 4 Wochen leicht düngen.,Alle 7 Tage. Mäßig gießen.
Schwarzer Pfeffer,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere nährstoffreiche feuchte Erde.,Alle 4 Wochen düngen im Sommer.,Alle 5 Tage. Gleichmäßig feucht halten.
Japanisches Blutgras,,Poaceae,herbal,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Im Frühling leicht düngen.,Alle 7 Tage. Mäßig gießen.
Chinaschilf,,,outdoor,Viel Licht. Sonniger Standort.,Lockere nährstoffreiche Erde.,Im Frühling düngen.,Alle 7 Tage. Mäßig gießen.
Blaustrahlhafer,,,outdoor,Viel Licht. Sonniger Standort.,Durchlässige magere Erde.,Wenig bis kein Dünger nötig.,Alle 10 Tage. Sparsam gießen.
Reitgras,,Poaceae,outdoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Im Frühling leicht düngen.,Alle 7 Tage. Mäßig gießen.
Schwingel,,,indoor,Viel Licht. Sonniger Standort.,Durchlässige magere Erde.,Wenig bis kein Dünger nötig.,Alle 10 Tage. Sparsam gießen.
Liriope,,,indoor,Helles Licht. Halbschatten verträglich.,Lockere durchlässige Erde.,Im Frühling leicht düngen.,Alle 7 Tage. Mäßig gießen.
Schildkrötenpflanze,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Sehr gut drainierende Erde.,Alle 4 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Silbervase,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere Erde mit Rinde.,Alle 4 Wochen schwach düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Trichter mit Wasser füllen.
Pfauenpflanze,,,indoor,Mittleres Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Zebrapflanze,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Polka-Dot-Pflanze,,,indoor,Helles indirektes Licht. Keine pralle Sonne.,Lockere humusreiche Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Luftpflanze,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Kein Substrat nötig. Auf Holz oder Stein befestigen.,Alle 4 Wochen mit sehr schwachem Dünger besprühen.,Alle 5 Tage. Regelmäßig besprühen oder tauchen.
Mosaikpflanze,,,indoor,Mittleres Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 4 Wochen schwach düngen im Sommer. Im Winter nicht düngen.,Alle 3 Tage. Gleichmäßig feucht halten.
Nervenblatt,,,indoor,Mittleres Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 4 Wochen schwach düngen im Sommer. Im Winter nicht düngen.,Alle 3 Tage. Gleichmäßig feucht halten.
Flammennessel,,,indoor,Helles indirektes Licht. Keine pralle Sonne.,Lockere humusreiche Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Grünlilie variegata,,Liliaceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Efeutute Marble Queen,,Araceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Efeutute Neon,,Araceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Monstera Peru,,Araceae,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde mit Perlite.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Rhaphidophora tetrasperma,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere durchlässige Erde mit Perlite.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Alocasia Black Velvet,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere Erde mit Perlite und Rinde.,Alle 4 Wochen schwach düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Anthurium clarinervium,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere Orchideenerde mit Perlite.,Alle 4 Wochen schwach düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Gleichmäßig feucht halten.
Colocasia,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Nährstoffreiche feuchte Erde.,Alle 2 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 3 Tage. Gleichmäßig feucht halten.
Caladium,,,indoor,Helles indirektes Licht. Keine direkte Sonne.,Lockere torfhaltige Erde.,Alle 2 Wochen düngen im Sommer. Im Winter Ruhephase.,Alle 5 Tage. Gleichmäßig feucht halten.
Aglaonema Silver Bay,,,indoor,Wenig bis mittleres Licht. Schattenverträglich.,Lockere durchlässige Erde.,Alle 4 Wochen leicht düngen im Sommer. Im Winter nicht düngen.,Alle 10 Tage. Mäßig gießen.
Sansevieria cylindrica,,,indoor,Helles bis mittleres Licht. Direkte Sonne verträglich.,Gut drainierende Kakteenerde.,Alle 8 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 21 Tage. Sehr sparsam gießen.
Sansevieria moonshine,,,indoor,Helles indirektes Licht. Keine pralle Sonne.,Gut drainierende Kakteenerde.,Alle 8 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 21 Tage. Sparsam gießen.
Goji-Beere,,,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Alle 4 Wochen düngen im Sommer. Im Winter nicht düngen.,Alle 7 Tage. Mäßig gießen.
Schwarze Johannisbeere,,,indoor,Helles Licht. Sonnig bis halbschattig.,Nährstoffreiche humusreiche Erde.,Im Frühling und Sommer alle 4 Wochen düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Preiselbeere,,,outdoor,Helles Licht. Sonnig bis halbschattig.,Saure torfhaltige Erde. pH-Wert 4 bis 5.,Alle 4 Wochen Rhododendrondünger im Sommer.,Alle 5 Tage. Gleichmäßig feucht halten.
Cranberry,,,indoor,Helles Licht. Sonnig bis halbschattig.,Saure torfhaltige feuchte Erde.,Alle 4 Wochen Rhododendrondünger im Sommer.,Alle 3 Tage. Stets feucht halten.
Mispel,,,indoor,Viel Licht. Sonniger Standort.,Lockere durchlässige Erde.,Im Frühling düngen.,Alle 7 Tage. Mäßig gießen.
Quitte,,,indoor,Viel Licht. Sonniger warmer Standort.,Nährstoffreiche tiefgründige Erde.,Im Frühling düngen.,Alle 7 Tage. Mäßig gießen.
Holunder,,,indoor,Helles Licht. Sonnig bis halbschattig.,Lockere nährstoffreiche feuchte Erde.,Im Frühling düngen.,Alle 5 Tage. Gleichmäßig feucht halten.
Sanddorn,,,outdoor,Viel Licht. Sonniger Standort.,Durchlässige sandige Erde.,Wenig bis kein Dünger nötig.,Alle 10 Tage. Sparsam gießen.
Felsenbirne,,,outdoor,Helles Licht. Sonnig bis halbschattig.,Lockere durchlässige Erde.,Im Frühling leicht düngen.,Alle 7 Tage. Mäßig gießen.
Aronia,,,indoor,Helles Licht. Sonnig bis halbschattig.,Lockere humusreiche Erde.,Im Frühling düngen.,Alle 7 Tage. Mäßig gießen.
Echeveria elegans,,,cacti,Viel Licht. Direkte Sonne ideal.,Mineralische gut drainierende Kakteenerde.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Echeveria Perle von Nürnberg,,,cacti,Viel Licht. Direkte Sonne ideal.,Mineralische gut drainierende Kakteenerde.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Graptoveria,,,indoor,Viel Licht. Direkte Sonne ideal.,Mineralische gut drainierende Kakteenerde.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Gasteria,Gasteria,Asphodelaceae,indoor,Helles indirektes Licht. Keine pralle Sonne.,Gut drainierende Kakteenerde.,Alle 8 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Aeonium,,,indoor,Viel Licht. Direkte Sonne verträglich.,Gut drainierende Kakteenerde.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Senecio rowleyanus,,,indoor,Helles indirektes Licht. Keine pralle Sonne.,Gut drainierende Kakteenerde.,Alle 6 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Ceropegia woodii,,,indoor,Helles indirektes Licht. Keine pralle Sonne.,Gut drainierende Erde mit Sand.,Alle 6 Wochen leicht düngen im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Euphorbia milii,,,cacti,Viel Licht. Direkte Sonne verträglich.,Gut drainierende Kakteenerde.,Alle 4 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Adenium,,,cacti,Viel Licht. Volle Sonne notwendig.,Sehr gut drainierende Kakteenerde.,Alle 4 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 14 Tage. Sparsam gießen.
Stapelia,,,cacti,Viel Licht. Direkte Sonne verträglich.,Sehr gut drainierende Kakteenerde.,Alle 8 Wochen Kakteendünger im Sommer. Im Winter nicht düngen.,Alle 21 Tage. Sehr sparsam gießen.
